"","auc_cat","ppv_cat","npv_cat","sens_cat","spec_cat","mean_ppv_cat","mean_npv_cat","true_negative_cat","false_negative_cat","false_positive_cat","true_positive_cat","mean_sens_cat","mean_spec_cat","mean_npv_cat","med_true_pos","med_false_pos","med_true_negs","med_false_negs","mean_auc_cat"
"75",0.827922077922079,0.75,0.935064935064935,0.75,0.935064935064935,NA,NA,72,5,5,15,NA,NA,NA,NA,NA,NA,NA,NA
"76",0.889097744360903,0.818181818181818,0.96,0.857142857142857,0.947368421052632,NA,NA,72,3,4,18,NA,NA,NA,NA,NA,NA,NA,NA
"77",0.945216049382716,0.777777777777778,0.974683544303797,0.875,0.950617283950617,NA,NA,77,2,4,14,NA,NA,NA,NA,NA,NA,NA,NA
"78",0.951948051948052,0.708333333333333,0.958904109589041,0.85,0.909090909090909,NA,NA,70,3,7,17,NA,NA,NA,NA,NA,NA,NA,NA
"79",0.895061728395061,0.857142857142857,0.951807228915663,0.75,0.975308641975309,NA,NA,79,4,2,12,NA,NA,NA,NA,NA,NA,NA,NA
"80",0.933019976498237,0.777777777777778,0.971428571428571,0.91304347826087,0.918918918918919,NA,NA,68,2,6,21,NA,NA,NA,NA,NA,NA,NA,NA
"81",0.958181818181818,0.730769230769231,0.957746478873239,0.863636363636364,0.906666666666667,NA,NA,68,3,7,19,NA,NA,NA,NA,NA,NA,NA,NA
"82",0.933192686357243,0.681818181818182,0.96,0.833333333333333,0.911392405063291,NA,NA,72,3,7,15,NA,NA,NA,NA,NA,NA,NA,NA
"83",0.946666666666668,0.954545454545455,0.946666666666667,0.84,0.986111111111111,NA,NA,71,4,1,21,NA,NA,NA,NA,NA,NA,NA,NA
"84",0.867469879518071,0.666666666666667,0.951219512195122,0.714285714285714,0.939759036144578,NA,NA,78,4,5,10,NA,NA,NA,NA,NA,NA,NA,NA
"85",0.95148401826484,0.88,0.972222222222222,0.916666666666667,0.958904109589041,NA,NA,70,2,3,22,NA,NA,NA,NA,NA,NA,NA,NA
"86",0.901656314699793,0.774193548387097,0.939393939393939,0.857142857142857,0.898550724637681,NA,NA,62,4,7,24,NA,NA,NA,NA,NA,NA,NA,NA
"87",0.88966049382716,0.65,0.961038961038961,0.8125,0.91358024691358,NA,NA,74,3,7,13,NA,NA,NA,NA,NA,NA,NA,NA
"88",0.862155388471178,0.714285714285714,0.921052631578947,0.714285714285714,0.921052631578947,NA,NA,70,6,6,15,NA,NA,NA,NA,NA,NA,NA,NA
"89",0.864242424242424,0.708333333333333,0.931506849315068,0.772727272727273,0.906666666666667,NA,NA,68,5,7,17,NA,NA,NA,NA,NA,NA,NA,NA
"90",0.922839506172839,0.705882352941176,0.95,0.75,0.938271604938272,NA,NA,76,4,5,12,NA,NA,NA,NA,NA,NA,NA,NA
"91",0.916095890410959,0.75,0.956521739130435,0.875,0.904109589041096,NA,NA,66,3,7,21,NA,NA,NA,NA,NA,NA,NA,NA
"92",0.905194805194805,0.75,0.935064935064935,0.75,0.935064935064935,NA,NA,72,5,5,15,NA,NA,NA,NA,NA,NA,NA,NA
"93",0.868905742145179,0.833333333333333,0.917808219178082,0.769230769230769,0.943661971830986,NA,NA,67,6,4,20,NA,NA,NA,NA,NA,NA,NA,NA
"94",0.836029411764706,0.68421052631579,0.948717948717949,0.764705882352941,0.925,NA,NA,74,4,6,13,NA,NA,NA,NA,NA,NA,NA,NA
"95",0.897260273972602,0.730769230769231,0.929577464788732,0.791666666666667,0.904109589041096,NA,NA,66,5,7,19,NA,NA,NA,NA,NA,NA,NA,NA
"96",0.972222222222222,0.789473684210526,0.987179487179487,0.9375,0.950617283950617,NA,NA,77,1,4,15,NA,NA,NA,NA,NA,NA,NA,NA
"97",0.911280846063455,0.9,0.935064935064935,0.782608695652174,0.972972972972973,NA,NA,72,5,2,18,NA,NA,NA,NA,NA,NA,NA,NA
"98",0.790441176470589,0.625,0.91358024691358,0.588235294117647,0.925,NA,NA,74,7,6,10,NA,NA,NA,NA,NA,NA,NA,NA
"99",0.949444444444445,0.916666666666667,0.958904109589041,0.88,0.972222222222222,NA,NA,70,3,2,22,NA,NA,NA,NA,NA,NA,NA,NA
"100",0.911868390129259,0.826086956521739,0.945945945945946,0.826086956521739,0.945945945945946,NA,NA,70,4,4,19,NA,NA,NA,NA,NA,NA,NA,NA
"101",0.907755581668624,0.714285714285714,0.956521739130435,0.869565217391304,0.891891891891892,NA,NA,66,3,8,20,NA,NA,NA,NA,NA,NA,NA,NA
"102",0.865452408930671,0.9,0.935064935064935,0.782608695652174,0.972972972972973,NA,NA,72,5,2,18,NA,NA,NA,NA,NA,NA,NA,NA
"103",0.920426065162908,0.727272727272727,0.933333333333333,0.761904761904762,0.921052631578947,NA,NA,70,5,6,16,NA,NA,NA,NA,NA,NA,NA,NA
"104",0.92077922077922,0.85,0.961038961038961,0.85,0.961038961038961,NA,NA,74,3,3,17,NA,NA,NA,NA,NA,NA,NA,NA
"105",0.96221322537112,0.772727272727273,0.973333333333333,0.894736842105263,0.935897435897436,NA,NA,73,2,5,17,NA,NA,NA,NA,NA,NA,NA,NA
"106",0.904230317273794,0.857142857142857,0.934210526315789,0.782608695652174,0.959459459459459,NA,NA,71,5,3,18,NA,NA,NA,NA,NA,NA,NA,NA
"107",0.893824485373782,0.785714285714286,0.942028985507246,0.846153846153846,0.915492957746479,NA,NA,65,4,6,22,NA,NA,NA,NA,NA,NA,NA,NA
"108",0.887012987012988,0.882352941176471,0.9375,0.75,0.974025974025974,NA,NA,75,5,2,15,NA,NA,NA,NA,NA,NA,NA,NA
"109",0.90436005625879,0.722222222222222,0.936708860759494,0.722222222222222,0.936708860759494,NA,NA,74,5,5,13,NA,NA,NA,NA,NA,NA,NA,NA
